발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2020-12-16 13:30,12,13,서귀포,영해,33 | 15 | 24,126 | 42 | 19,양호,정비불량,기관손상,1,1,1,0,0,0,어선,4.29
2020-12-16 12:46,12,12,목포,항계 내,34 | 40 | 23,126 | 13 | 56,양호,정비불량,기관손상,1,8,8,0,0,0,어선,40
2020-12-16 12:35,12,12,태안,협수로,36 | 35 | 8,126 | 18 | 37,양호,정비불량,기관손상,1,2,2,0,0,0,어선,2.53
2020-12-16 11:30,12,11,제주,영해,33 | 40 | 27,126 | 17 | 51,양호,운항부주의,충돌,1,2,2,0,0,0,어선,5.24
2020-12-16 11:30,12,11,제주,영해,33 | 40 | 27,126 | 17 | 51,양호,운항부주의,충돌,1,2,2,0,0,0,어선,5.16
2020-12-16 07:40,12,07,서귀포,영해-EEZ,32 | 58 | 59,126 | 43 | 0,양호,정비불량,기관손상,1,10,10,0,0,0,어선,45
2020-12-15 20:30,12,20,목포,영해-EEZ,34 | 55 | 0,124 | 40 | 60,풍랑주의보,운항부주의,충돌,1,20,20,0,0,0,유조선,30068
2020-12-15 20:30,12,20,목포,영해-EEZ,34 | 55 | 0,124 | 40 | 60,풍랑주의보,운항부주의,충돌,1,15,15,1,0,0,어선,130
2020-12-15 17:21,12,17,울진,영해,36 | 21 | 36,129 | 23 | 39,양호,정비불량,기관손상,1,1,1,0,0,0,어선,2.26
2020-12-15 16:59,12,16,통영,협수로,34 | 50 | 44,128 | 20 | 44,양호,정비불량,기관손상,1,9,9,0,0,0,어선,12
2020-12-15 13:21,12,13,목포,항계 내,34 | 48 | 50,126 | 19 | 48,양호,관리소홀,표류,1,0,0,0,0,0,어선,2.57
2020-12-15 11:43,12,11,완도,항계 내,34 | 19 | 5,126 | 45 | 54,양호,운항부주의,접촉,1,7,7,0,0,0,어선,72
2020-12-15 11:43,12,11,완도,항계 내,34 | 19 | 5,126 | 45 | 54,양호,운항부주의,접촉,1,9,9,0,0,0,화물선,2300
2020-12-15 10:00,12,10,여수,항계 내,34 | 43 | 27,127 | 43 | 0,양호,정비불량,침수,1,0,0,0,0,0,기타,108
2020-12-15 07:39,12,07,제주,항계 내,33 | 32 | 44,126 | 39 | 39,양호,기타 ,침수,1,0,0,0,0,0,어선,4
2020-12-15 04:05,12,04,제주,영해,33 | 49 | 60,127 | 0 | 0,양호,운항부주의,충돌,1,7,7,0,0,0,화물선,1581
2020-12-15 04:05,12,04,제주,영해,33 | 49 | 60,127 | 0 | 0,양호,운항부주의,충돌,1,11,11,0,0,0,어선,135
2020-12-14 12:50,12,12,여수,항계 내,34 | 44 | 16,127 | 40 | 39,양호,관리소홀,침수,1,0,0,0,0,0,모터보트,1.9
2020-12-14 10:16,12,10,군산,영해,36 | 3 | 19,126 | 27 | 33,양호,관리소홀,표류,1,0,0,0,0,0,어선,2.09
2020-12-14 09:38,12,09,울산,항계 내,35 | 23 | 31,129 | 20 | 35,풍랑주의보,관리소홀,표류,1,0,0,0,0,0,모터보트,4.97
2020-12-14 07:53,12,07,창원,영해,35 | 3 | 21,128 | 38 | 42,양호,관리소홀,표류,1,0,0,0,0,0,어선,1.29
2020-12-13 13:45,12,13,제주,영해,33 | 34 | 36,126 | 41 | 43,양호,운항부주의,부유물감김,1,8,8,0,0,0,모터보트,4.97
2020-12-13 13:33,12,13,평택,영해,37 | 9 | 47,126 | 37 | 4,양호,정비불량,기관손상,1,2,2,0,0,0,어선,5.1
2020-12-13 12:08,12,12,평택,영해,37 | 0 | 47,126 | 26 | 30,양호,운항부주의,접촉,1,1,1,0,0,0,예부선,911
2020-12-13 12:08,12,12,평택,영해,37 | 0 | 47,126 | 26 | 30,양호,운항부주의,접촉,1,1,1,0,0,0,예부선,416
2020-12-13 11:54,12,11,제주,영해,33 | 56 | 35,126 | 18 | 38,양호,운항부주의,접촉,1,4,4,4,0,0,모터보트,2.74
2020-12-13 11:54,12,11,제주,영해,33 | 56 | 35,126 | 18 | 38,양호,운항부주의,접촉,1,1,1,0,0,0,낚시어선,7.93
2020-12-13 10:22,12,10,울산,영해,35 | 27 | 2,129 | 30 | 11,양호,안전부주의,화재,1,10,10,0,0,0,어선,29
2020-12-13 10:15,12,10,인천,영해,37 | 49 | 40,124 | 43 | 2,양호,관리소홀,침수,1,0,0,0,0,0,모터보트,1.3
2020-12-13 03:15,12,03,동해,영해-EEZ,37 | 43 | 50,129 | 58 | 0,풍랑주의보,정비불량,기관손상,1,5,5,0,0,0,어선,29
2020-12-13 01:44,12,01,속초,항계 내,38 | 11 | 33,128 | 35 | 16,양호,기타 ,화재,1,0,0,0,0,0,요트,3.31
2020-12-12 18:45,12,18,울진,영해,36 | 31 | 0,129 | 34 | 60,양호,정비불량,기관손상,1,5,5,0,0,0,어선,7.93
2020-12-12 18:06,12,18,목포,항계 내,34 | 35 | 28,126 | 16 | 54,양호,정비불량,기관손상,1,1,1,0,0,0,어선,7.31
